epoch,step,test_acc,train_acc,train_loss,val_acc,val_loss
0,9,,0.0,3.517983913421631,,
0,19,,0.0,3.5180413722991943,,
0,29,,0.0,3.5180413722991943,,
0,39,,0.0,3.5180413722991943,,
0,49,,0.0,3.5180413722991943,,
0,59,,0.0,3.5180413722991943,,
0,69,,0.0,3.5180413722991943,,
0,79,,0.0,3.5180413722991943,,
0,89,,0.0,3.5180413722991943,,
0,99,,0.0,3.5180413722991943,,
0,109,,0.0,3.5180413722991943,,
0,119,,0.0,3.5180413722991943,,
0,129,,0.0,3.5180413722991943,,
0,139,,0.0,3.5180413722991943,,
0,149,,0.0,3.5180413722991943,,
0,159,,0.0,3.5180413722991943,,
0,169,,0.0,3.5180413722991943,,
0,179,,0.0,3.5180413722991943,,
0,189,,0.0,3.5180413722991943,,
0,199,,0.0,3.5180413722991943,,
0,209,,0.0,3.5180413722991943,,
0,219,,0.0,3.5180413722991943,,
0,229,,0.0,3.5180413722991943,,
0,239,,0.0,3.5180413722991943,,
0,249,,0.0,3.5180413722991943,,
0,259,,0.0,3.5180413722991943,,
0,269,,0.0,3.5180413722991943,,
0,279,,0.0,3.5180413722991943,,
0,289,,0.0,3.5180413722991943,,
0,299,,0.0,3.5180413722991943,,
0,309,,0.0,3.5180413722991943,,
0,319,,0.0,3.5180413722991943,,
0,327,,,,0.0,3.5180399417877197
1,329,,0.0,3.5180413722991943,,
1,339,,0.0,3.5180413722991943,,
1,349,,0.0,3.5180413722991943,,
1,359,,0.0,3.5180413722991943,,
1,369,,0.0,3.5180413722991943,,
1,379,,0.0,3.5180413722991943,,
1,389,,0.0,3.5180413722991943,,
1,399,,0.0,3.5180413722991943,,
1,409,,0.0,3.5180413722991943,,
1,419,,0.0,3.5180413722991943,,
1,429,,0.0,3.5180413722991943,,
1,439,,0.0,3.5180413722991943,,
1,449,,0.0,3.5180413722991943,,
1,459,,0.0,3.5180413722991943,,
1,469,,0.0,3.5180413722991943,,
1,479,,0.0,3.5180413722991943,,
1,489,,0.0,3.5180413722991943,,
1,499,,0.0,3.5180413722991943,,
1,509,,0.0,3.5180413722991943,,
1,519,,0.0,3.5180413722991943,,
1,529,,0.0,3.5180413722991943,,
1,539,,0.0,3.5180413722991943,,
1,549,,0.0,3.5180413722991943,,
1,559,,0.0,3.5180413722991943,,
1,569,,0.0,3.5180413722991943,,
1,579,,0.0,3.5180413722991943,,
1,589,,0.0,3.5180413722991943,,
