epoch,step,train_acc,train_loss,val_acc,val_loss
0,9,0.40625,1.0986120700836182,,
0,19,0.625,1.0986120700836182,,
0,29,0.625,1.0986120700836182,,
0,39,0.625,1.0986120700836182,,
0,49,0.59375,1.0986120700836182,,
0,59,0.6875,1.0986120700836182,,
0,69,0.59375,1.0986120700836182,,
0,79,0.65625,1.0986120700836182,,
0,89,0.6875,1.0986120700836182,,
0,99,0.59375,1.0986120700836182,,
0,109,0.625,1.0986120700836182,,
0,119,0.5625,1.0986120700836182,,
0,129,0.65625,1.0986120700836182,,
0,139,0.6875,1.0986120700836182,,
0,149,0.71875,1.0986120700836182,,
0,159,0.59375,1.0986120700836182,,
0,169,0.65625,1.0986120700836182,,
0,179,0.71875,1.0986120700836182,,
0,189,0.5625,1.0986120700836182,,
0,199,0.53125,1.0986120700836182,,
0,209,0.625,1.0986120700836182,,
0,219,0.59375,1.0986120700836182,,
0,229,0.59375,1.0986120700836182,,
0,239,0.5625,1.0986120700836182,,
0,249,0.6875,1.0986120700836182,,
0,259,0.65625,1.0986120700836182,,
0,269,0.75,1.0986120700836182,,
0,279,0.5625,1.0986120700836182,,
0,289,0.53125,1.0986120700836182,,
0,299,0.5625,1.0986120700836182,,
0,309,0.59375,1.0986120700836182,,
0,319,0.5,1.0986120700836182,,
0,327,,,0.5897297263145447,1.0986127853393555
1,329,0.46875,1.0986120700836182,,
1,339,0.6875,1.0986120700836182,,
1,349,0.5625,1.0986120700836182,,
1,359,0.5,1.0986120700836182,,
1,369,0.4375,1.0986120700836182,,
1,379,0.5,1.0986120700836182,,
1,389,0.59375,1.0986120700836182,,
1,399,0.46875,1.0986120700836182,,
1,409,0.625,1.0986120700836182,,
1,419,0.84375,1.0986120700836182,,
1,429,0.59375,1.0986120700836182,,
1,439,0.65625,1.0986120700836182,,
1,449,0.625,1.0986120700836182,,
1,459,0.46875,1.0986120700836182,,
1,469,0.53125,1.0986120700836182,,
1,479,0.59375,1.0986120700836182,,
1,489,0.65625,1.0986120700836182,,
1,499,0.5625,1.0986120700836182,,
1,509,0.59375,1.0986120700836182,,
1,519,0.5625,1.0986120700836182,,
1,529,0.625,1.0986120700836182,,
1,539,0.53125,1.0986120700836182,,
1,549,0.53125,1.0986120700836182,,
1,559,0.6875,1.0986120700836182,,
1,569,0.625,1.0986120700836182,,
1,579,0.59375,1.0986120700836182,,
1,589,0.53125,1.0986120700836182,,
1,599,0.65625,1.0986120700836182,,
1,609,0.6875,1.0986120700836182,,
1,619,0.71875,1.0986120700836182,,
1,629,0.65625,1.0986120700836182,,
1,639,0.59375,1.0986120700836182,,
1,649,0.625,1.0986120700836182,,
1,655,,,0.5897297263145447,1.0986127853393555
2,659,0.5,1.0986120700836182,,
2,669,0.71875,1.0986120700836182,,
2,679,0.65625,1.0986120700836182,,
2,689,0.59375,1.0986120700836182,,
2,699,0.53125,1.0986120700836182,,
2,709,0.6875,1.0986120700836182,,
2,719,0.5625,1.0986120700836182,,
2,729,0.6875,1.0986120700836182,,
2,739,0.65625,1.0986120700836182,,
2,749,0.59375,1.0986120700836182,,
2,759,0.4375,1.0986120700836182,,
2,769,0.75,1.0986120700836182,,
2,779,0.71875,1.0986120700836182,,
2,789,0.5,1.0986120700836182,,
2,799,0.5625,1.0986120700836182,,
2,809,0.53125,1.0986120700836182,,
2,819,0.6875,1.0986120700836182,,
2,829,0.625,1.0986120700836182,,
2,839,0.53125,1.0986120700836182,,
2,849,0.71875,1.0986120700836182,,
2,859,0.65625,1.0986120700836182,,
2,869,0.6875,1.0986120700836182,,
2,879,0.625,1.0986120700836182,,
2,889,0.53125,1.0986120700836182,,
2,899,0.65625,1.0986120700836182,,
2,909,0.53125,1.0986120700836182,,
2,919,0.6875,1.0986120700836182,,
2,929,0.59375,1.0986120700836182,,
2,939,0.71875,1.0986120700836182,,
2,949,0.65625,1.0986120700836182,,
2,959,0.53125,1.0986120700836182,,
2,969,0.4375,1.0986120700836182,,
2,979,0.75,1.0986120700836182,,
2,983,,,0.5897297263145447,1.0986127853393555
3,989,0.71875,1.0986120700836182,,
3,999,0.65625,1.0986120700836182,,
3,1009,0.5625,1.0986120700836182,,
3,1019,0.5625,1.0986120700836182,,
3,1029,0.6875,1.0986120700836182,,
3,1039,0.625,1.0986120700836182,,
3,1049,0.71875,1.0986120700836182,,
3,1059,0.59375,1.0986120700836182,,
3,1069,0.78125,1.0986120700836182,,
3,1079,0.6875,1.0986120700836182,,
3,1089,0.65625,1.0986120700836182,,
3,1099,0.8125,1.0986120700836182,,
3,1109,0.53125,1.0986120700836182,,
3,1119,0.625,1.0986120700836182,,
3,1129,0.625,1.0986120700836182,,
3,1139,0.65625,1.0986120700836182,,
3,1149,0.59375,1.0986120700836182,,
3,1159,0.65625,1.0986120700836182,,
3,1169,0.59375,1.0986120700836182,,
3,1179,0.5625,1.0986120700836182,,
3,1189,0.34375,1.0986120700836182,,
3,1199,0.4375,1.0986120700836182,,
3,1209,0.53125,1.0986120700836182,,
3,1219,0.5,1.0986120700836182,,
3,1229,0.46875,1.0986120700836182,,
3,1239,0.65625,1.0986120700836182,,
3,1249,0.78125,1.0986120700836182,,
3,1259,0.59375,1.0986120700836182,,
3,1269,0.625,1.0986120700836182,,
3,1279,0.53125,1.0986120700836182,,
3,1289,0.59375,1.0986120700836182,,
3,1299,0.4375,1.0986120700836182,,
3,1309,0.65625,1.0986120700836182,,
3,1311,,,0.5897297263145447,1.0986127853393555
4,1319,0.8125,1.0986120700836182,,
4,1329,0.625,1.0986120700836182,,
4,1339,0.6875,1.0986120700836182,,
4,1349,0.59375,1.0986120700836182,,
4,1359,0.46875,1.0986120700836182,,
4,1369,0.71875,1.0986120700836182,,
4,1379,0.625,1.0986120700836182,,
4,1389,0.46875,1.0986120700836182,,
4,1399,0.6875,1.0986120700836182,,
4,1409,0.53125,1.0986120700836182,,
4,1419,0.5625,1.0986120700836182,,
