epoch,step,test_acc,train_acc,train_loss,val_acc,val_loss
0,9,,0.53125,1.0201948881149292,,
0,19,,0.59375,0.957694947719574,,
0,29,,0.71875,0.832694947719574,,
0,39,,0.75,0.801444947719574,,
0,49,,0.5,1.0514448881149292,,
0,59,,0.71875,0.832694947719574,,
0,69,,0.65625,0.895194947719574,,
0,79,,0.71875,0.832694947719574,,
0,89,,0.5,1.0514448881149292,,
0,99,,0.6875,0.863944947719574,,
0,109,,0.6875,0.863944947719574,,
0,119,,0.75,0.801444947719574,,
0,129,,0.625,0.926444947719574,,
0,139,,0.4375,1.1139448881149292,,
0,149,,0.59375,0.957694947719574,,
0,159,,0.65625,0.895194947719574,,
0,169,,0.6875,0.863944947719574,,
0,179,,0.71875,0.832694947719574,,
0,189,,0.65625,0.895194947719574,,
0,199,,0.625,0.926444947719574,,
0,209,,0.5625,0.988944947719574,,
0,219,,0.59375,0.957694947719574,,
0,229,,0.625,0.926444947719574,,
0,239,,0.4375,1.1139448881149292,,
0,249,,0.625,0.926444947719574,,
0,259,,0.625,0.926444947719574,,
0,269,,0.71875,0.832694947719574,,
0,279,,0.59375,0.957694947719574,,
0,289,,0.5625,0.988944947719574,,
0,299,,0.8125,0.738944947719574,,
0,309,,0.625,0.926444947719574,,
0,319,,0.46875,1.0826948881149292,,
0,327,,,,0.5897297263145447,0.9617151618003845
1,329,,0.65625,0.895194947719574,,
1,339,,0.59375,0.957694947719574,,
1,349,,0.5625,0.988944947719574,,
1,359,,0.53125,1.0201948881149292,,
1,369,,0.59375,0.957694947719574,,
1,379,,0.5625,0.988944947719574,,
1,389,,0.59375,0.957694947719574,,
1,399,,0.53125,1.0201948881149292,,
1,409,,0.4375,1.1139448881149292,,
1,419,,0.4375,1.1139448881149292,,
1,429,,0.59375,0.957694947719574,,
1,439,,0.53125,1.0201948881149292,,
1,449,,0.53125,1.0201948881149292,,
1,459,,0.46875,1.0826948881149292,,
1,469,,0.6875,0.863944947719574,,
1,479,,0.5,1.0514448881149292,,
1,489,,0.46875,1.0826948881149292,,
1,499,,0.625,0.926444947719574,,
1,509,,0.84375,0.707694947719574,,
1,519,,0.65625,0.895194947719574,,
1,529,,0.59375,0.957694947719574,,
1,539,,0.59375,0.957694947719574,,
1,549,,0.5625,0.988944947719574,,
1,559,,0.625,0.926444947719574,,
1,569,,0.6875,0.863944947719574,,
1,579,,0.625,0.926444947719574,,
1,589,,0.625,0.926444947719574,,
1,599,,0.71875,0.832694947719574,,
1,609,,0.46875,1.0826948881149292,,
1,619,,0.59375,0.957694947719574,,
1,629,,0.65625,0.895194947719574,,
1,639,,0.6875,0.863944947719574,,
1,649,,0.625,0.926444947719574,,
1,655,,,,0.5897297263145447,0.9617151618003845
2,659,,0.78125,0.770194947719574,,
2,669,,0.625,0.926444947719574,,
2,679,,0.5625,0.988944947719574,,
2,689,,0.6875,0.863944947719574,,
2,699,,0.5625,0.988944947719574,,
2,709,,0.625,0.926444947719574,,
2,719,,0.6875,0.863944947719574,,
2,729,,0.84375,0.707694947719574,,
2,739,,0.625,0.926444947719574,,
2,749,,0.53125,1.0201948881149292,,
2,759,,0.53125,1.0201948881149292,,
2,769,,0.5625,0.988944947719574,,
2,779,,0.78125,0.770194947719574,,
2,789,,0.59375,0.957694947719574,,
