epoch,step,test_acc,train_acc,train_loss,val_acc,val_loss
0,9,,0.28125,1.2701948881149292,,
0,19,,0.125,1.4264448881149292,,
0,29,,0.21875,1.3326948881149292,,
0,39,,0.28125,1.2701948881149292,,
0,49,,0.25,1.3014448881149292,,
0,59,,0.25,1.3014448881149292,,
0,69,,0.3125,1.2389448881149292,,
0,79,,0.21875,1.3326948881149292,,
0,89,,0.28125,1.2701948881149292,,
0,99,,0.25,1.3014448881149292,,
0,109,,0.25,1.3014448881149292,,
0,119,,0.1875,1.3639448881149292,,
0,129,,0.3125,1.2389448881149292,,
0,139,,0.21875,1.3326948881149292,,
0,149,,0.28125,1.2701948881149292,,
0,159,,0.21875,1.3326948881149292,,
0,169,,0.1875,1.3639448881149292,,
0,179,,0.34375,1.2076948881149292,,
0,189,,0.21875,1.3326948881149292,,
0,199,,0.15625,1.3951948881149292,,
0,209,,0.34375,1.2076948881149292,,
0,219,,0.28125,1.2701948881149292,,
0,229,,0.5,1.0514448881149292,,
0,239,,0.28125,1.2701948881149292,,
0,249,,0.25,1.3014448881149292,,
0,259,,0.3125,1.2389448881149292,,
0,269,,0.28125,1.2701948881149292,,
0,279,,0.28125,1.2701948881149292,,
0,289,,0.40625,1.1451948881149292,,
0,299,,0.25,1.3014448881149292,,
0,309,,0.21875,1.3326948881149292,,
0,319,,0.125,1.4264448881149292,,
0,327,,,,0.2827027142047882,1.2687422037124634
1,329,,0.3125,1.2389448881149292,,
1,339,,0.125,1.4264448881149292,,
1,349,,0.25,1.3014448881149292,,
1,359,,0.15625,1.3951948881149292,,
1,369,,0.28125,1.2701948881149292,,
1,379,,0.21875,1.3326948881149292,,
1,389,,0.3125,1.2389448881149292,,
1,399,,0.15625,1.3951948881149292,,
1,409,,0.15625,1.3951948881149292,,
1,419,,0.375,1.1764448881149292,,
1,429,,0.1875,1.3639448881149292,,
1,439,,0.1875,1.3639448881149292,,
1,449,,0.40625,1.1451948881149292,,
1,459,,0.3125,1.2389448881149292,,
1,469,,0.15625,1.3951948881149292,,
1,479,,0.21875,1.3326948881149292,,
1,489,,0.25,1.3014448881149292,,
1,499,,0.1875,1.3639448881149292,,
1,509,,0.4375,1.1139448881149292,,
1,519,,0.1875,1.3639448881149292,,
1,529,,0.1875,1.3639448881149292,,
1,539,,0.21875,1.3326948881149292,,
1,549,,0.28125,1.2701948881149292,,
1,559,,0.28125,1.2701948881149292,,
1,569,,0.28125,1.2701948881149292,,
1,579,,0.25,1.3014448881149292,,
1,589,,0.1875,1.3639448881149292,,
1,599,,0.3125,1.2389448881149292,,
1,609,,0.34375,1.2076948881149292,,
1,619,,0.3125,1.2389448881149292,,
1,629,,0.375,1.1764448881149292,,
1,639,,0.375,1.1764448881149292,,
1,649,,0.25,1.3014448881149292,,
1,655,,,,0.2827027142047882,1.2687422037124634
2,659,,0.21875,1.3326948881149292,,
2,669,,0.125,1.4264448881149292,,
2,679,,0.34375,1.2076948881149292,,
2,689,,0.21875,1.3326948881149292,,
2,699,,0.3125,1.2389448881149292,,
2,709,,0.3125,1.2389448881149292,,
